[2026-03-11 01:19:48] === NUEVA SESION INICIADA ===
[2026-03-11 01:23:39] Asset=AIG-OTC | Precio=75.05350 | RSI=43.50 | EMA=75.09770 | SMA=75.12471 | BB_W%=0.6640 | Mood_CALL=50% | Mood_PUT=50% | Score=0.199 | MoodMom=1.000 | MicroMom=-0.133 | Diverg=0.700 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.158 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:43] Asset=AIG-OTC | Precio=75.05650 | RSI=43.63 | EMA=75.09799 | SMA=75.12479 | BB_W%=0.6644 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.076 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.125 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:46] Asset=AIG-OTC | Precio=75.05250 | RSI=43.46 | EMA=75.09760 | SMA=75.12468 | BB_W%=0.6639 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.077 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.146 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:49] Asset=AIG-OTC | Precio=75.03250 | RSI=42.62 | EMA=75.09570 | SMA=75.12409 | BB_W%=0.6621 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.008 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.374 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:52] Asset=AIG-OTC | Precio=75.05150 | RSI=43.41 | EMA=75.09751 | SMA=75.12465 | BB_W%=0.6638 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.021 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.198 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:55] Asset=AIG-OTC | Precio=75.04450 | RSI=43.12 | EMA=75.09684 | SMA=75.12444 | BB_W%=0.6631 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.012 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.033 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:23:58] Asset=AIG-OTC | Precio=75.03850 | RSI=42.87 | EMA=75.09627 | SMA=75.12426 | BB_W%=0.6625 | Mood_CALL=50% | Mood_PUT=50% | Score=0.066 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.067 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:01] Asset=AIG-OTC | Precio=75.04750 | RSI=43.24 | EMA=75.09713 | SMA=75.12453 | BB_W%=0.6634 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.012 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=-0.019 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:04] Asset=AIG-OTC | Precio=75.00850 | RSI=41.70 | EMA=75.08096 | SMA=75.10421 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.054 | MoodMom=0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.124 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:07] Asset=AIG-OTC | Precio=75.00050 | RSI=41.36 | EMA=75.08020 | SMA=75.10397 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.054 | MoodMom=0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.124 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
